email_id,subject,body,label
51889,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Durban. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 074 541 4307.",spam
36369,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Pretoria. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 073 280 8882.",spam
34865,Male enhancement pills - 100% natural,Increase your size by 5cm in 30 days! Thousands of satisfied SA men! Discreet delivery to Durban. Order now R499. SMS MAN to 073 290 5609.,spam
62867,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Rosebank. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 082 229 7391.",spam
86968,Takealot: Order Confirmation,Thank you for your order! Order number: TA953965. Total: R3614. Expected delivery: 3-5 business days to Soweto.,ham
62056,"Cash loan approved! R250,000 in your account today!","GOOD NEWS! Your loan of R10,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 074 227 9415.",spam
93954,City of Rosebank: Municipal account,Your municipal account for May 2024 is available. Amount due: R354. Payment due: 6/06/2024.,ham
63419,"WORK FOR GOOGLE - R250,000 per week from home","Google is hiring in South Africa! Work from home! Earn R10,000/week doing simple tasks. Send R199 registration to 074 424 3472. Start immediately!",spam
33996,"Cash loan approved! R500,000 in your account today!","GOOD NEWS! Your loan of R100,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 084 194 2176.",spam
9235,"You have inherited R250,000 from Nigeria","Dear Friend, Your relative has left you R500,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
39904,"FOREX TRADING - Make R50,000 daily guaranteed!!!","Learn to trade Forex and make R50,000 every day! Our traders in Pretoria will teach you. Only R1,500 for the course. WhatsApp 083 493 8045.",spam
68180,"Make R10,000 per day working from home!!!","Amazing opportunity to earn R500,000 daily from home in Sandton! No experience needed! Send R299 registration fee. WhatsApp 074 842 2594 NOW!!!",spam
69496,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 072 779 9904. Approval within 24 hours!!!",spam
59445,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 072 392 6216. Limited time offer!!!,spam
49830,"You've won R10,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R10,000 prize, send your ID and bank details to 071 708 8138.",spam
97562,City of Rosebank: Municipal account,Your municipal account for May 2024 is available. Amount due: R200. Payment due: 18/06/2024.,ham
89253,Woolworths: Delivery update,Your order #MK965408 is out for delivery. Estimated arrival: 10 minutes. Total: R4346.,ham
66632,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
17758,"Make R100,000 per day working from home!!!","Amazing opportunity to earn R500,000 daily from home in Port Elizabeth! No experience needed! Send R299 registration fee. WhatsApp 083 681 3534 NOW!!!",spam
71418,Eskom Load Shedding Schedule Update,Loadshedding Update: Stage 1 will be implemented from 19:00 to 12:00 today. Check your schedule.,ham
97241,DStv: Subscription payment reminder,"Hi, your DStv Premium subscription of R829 is due on 1/05/2024. Pay online or via the app.",ham
54137,Male enhancement pills - 100% natural,Increase your size by 5cm in 30 days! Thousands of satisfied SA men! Discreet delivery to Johannesburg. Order now R499. SMS MAN to 072 383 6224.,spam
2524,Nedbank ALERT: Suspicious activity detected,Your FNB account shows unusual transactions. Verify immediately: http://FNB-secure.net. Account will be locked in 6 hours!,spam
57490,"You've won R50,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R250,000 prize, send your ID and bank details to 083 750 3123.",spam
30546,CLICK HERE - See who viewed your Facebook profile,Want to know who's checking your profile? Click here to see who viewed your Facebook profile: http://fb-profile-viewer.com. 100% free!,spam
41970,"You have inherited R500,000 from Nigeria","Dear Friend, Your relative has left you R500,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
59412,"You have inherited R250,000 from Nigeria","Dear Friend, Your relative has left you R100,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
65645,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
95358,Eskom Load Shedding Schedule Update,Loadshedding Update: Stage 2 will be implemented from 9:00 to 11:00 today. Check your schedule.,ham
57411,"You have inherited R50,000 from Nigeria","Dear Friend, Your relative has left you R10,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
39811,"Cash loan approved! R250,000 in your account today!","GOOD NEWS! Your loan of R100,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 071 396 7530.",spam
74810,Makro: Flash sale today,FLASH SALE! 20% off storewide for 24 hours only! Shop online or in-store.,ham
48576,"Make R500,000 per day working from home!!!","Amazing opportunity to earn R10,000 daily from home in Soweto! No experience needed! Send R299 registration fee. WhatsApp 084 865 4258 NOW!!!",spam
74219,Uber: Trip receipt,Thanks for riding! Trip from Cape Town to Sandton: R3977. Driver: David (4.9 stars). Paid via card.,ham
37718,"FOREX TRADING - Make R250,000 daily guaranteed!!!","Learn to trade Forex and make R500,000 every day! Our traders in Sandton will teach you. Only R1,500 for the course. WhatsApp 072 892 7722.",spam
62430,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 072 719 3762. Approval within 24 hours!!!",spam
21778,Get rich with Bitcoin investment!!!,"Turn R1,000 into R500,000 in one week with our Bitcoin system! Join traders in Pretoria. WhatsApp 083 424 1596. Guaranteed returns!!!",spam
24066,"You have inherited R250,000 from Nigeria","Dear Friend, Your relative has left you R500,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
73431,FNB: Payment received,Thank you for your payment of R1087. Your account has been credited. Next billing date: 17/06/2024.,ham
56407,"Make R250,000 per day working from home!!!","Amazing opportunity to earn R500,000 daily from home in Cape Town! No experience needed! Send R299 registration fee. WhatsApp 071 514 2592 NOW!!!",spam
33915,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R50,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
90728,Cell C: Welcome bonus,Welcome to Cell C! You've received 5GB free data as a welcome gift. Valid for 7 days.,ham
88119,African Bank: Transaction notification,You have successfully transferred R653 to John. Reference: Shopping. Balance: R21361.,ham
2188,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 081 483 2659.,spam
85238,Your Capitec statement is ready,"Dear Customer, Your monthly statement for account ending in 1143 is now available on Online Banking. Please log in to view your transactions.",ham
42161,"You've won R50,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R10,000 prize, send your ID and bank details to 074 151 6093.",spam
92421,Game - Your order has been dispatched,"Hi Peter, Great news! Your order #TA190997 has been dispatched and will arrive in 2-3 business days.",ham
31593,WARNING: Computer infected with 37 viruses!,ALERT! Your device has 40 viruses! Battery damaged 28%! Click here immediately to download fix: http://antivirus-sa.com. Device will stop working in 6 hours!,spam
88152,Woolworths: Flash sale today,FLASH SALE! 30% off storewide for 24 hours only! Shop online or in-store.,ham
50223,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 083 748 7296. Limited time offer!!!,spam
96632,Shoprite: Order Confirmation,Thank you for your order! Order number: MK558523. Total: R3204. Expected delivery: 3-5 business days to Pretoria.,ham
28139,"Make R250,000 per day working from home!!!","Amazing opportunity to earn R500,000 daily from home in Sandton! No experience needed! Send R299 registration fee. WhatsApp 072 242 7561 NOW!!!",spam
81567,Standard Bank: Transaction notification,You have successfully transferred R2424 to David. Reference: Rent. Balance: R41921.,ham
47823,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
89560,City of Rosebank: Municipal account,Your municipal account for May 2024 is available. Amount due: R1948. Payment due: 12/06/2024.,ham
6205,"You have inherited R500,000 from Nigeria","Dear Friend, Your relative has left you R250,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
34623,"Cash loan approved! R50,000 in your account today!","GOOD NEWS! Your loan of R250,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 071 586 5997.",spam
810,"FOREX TRADING - Make R10,000 daily guaranteed!!!","Learn to trade Forex and make R10,000 every day! Our traders in Soweto will teach you. Only R1,500 for the course. WhatsApp 084 567 5492.",spam
94950,City of Johannesburg: Municipal account,Your municipal account for May 2024 is available. Amount due: R622. Payment due: 1/06/2024.,ham
71189,Standard Bank: Balance inquiry result,Your FNB account balance: R24552. Available balance: R24552. Last transaction: Debit R2604.,ham
29962,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
61927,Hot singles in Pretoria want to meet you tonight!,30 single ladies in Port Elizabeth are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
